scientificName,Article,Article_secondary_same_data,Evidence_category,Evidence_effect,Evidence_method,Study_rodent_final,Exclude_row,Sample_size_greater_than_1,Predation_type,Sample_size_nests_monitored,Hypothesis_supported,Percent_nests_or_individuals_predated,Predator_and_prey_population_data,Experiment_control_site_or_spatial_variation,Note_experiment_sample_size,Experiment_confounding_variables_included,Experiment_BACI,Study_location,Latitude,Longitude,Island_name,Archipelago,Region,Country,Study_notes,Study_ID,Reported_study_rodent,Study_rodent_notes,key
Cinclodes antarcticus,"Tabak, M.A., Poncet, S., Passfield, K., Goheen, J.R. and Martinez del Rio, C., 2015. Rat eradication and the resistance and resilience of passerine bird assemblages in the Falkland Islands. Journal of Animal Ecology, 84(3), pp.755-764.","Tabak, M.A., Poncet, S., Passfield, K. and Martinez del Rio, C., 2014. Invasive species and land bird diversity on remote South Atlantic islands. Biological Invasions, 16, pp.341-352.",Population,Abundance,Spatial,Rattus norvegicus,,1,NA,NA,1,,1,1,"37, 85, 108 islands",1,1,Falkland Islands,-51.796300000000002,-59.523600000000002,falkland,Falkland Islands (High Cliff Island Group),Atlantic Ocean - South,Falkland Islands (Malvinas),Probability of occupancy positively associated with island size mostly where rats were absent or eradicated but weak relationship where rats were present. This pattern was not consistent with other passerines studied,85,Rattus norvegicus,,Cinclodes antarcticus_Rattus norvegicus
Coenocorypha iredalei,BirdLife International. 2016. Coenocorypha iredalei. The IUCN Red List of Threatened Species 2016: e.T22727515A94951415. https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22727515A94951415.en. Accessed on 13 November 2023.,NA,Population,Abundance,Timing,Rattus rattus,,,NA,NA,1,,0,NA,NA,NA,NA,Stewart Island,-47.010300000000001,167.8272,stewart (rakiura),Stewart Islands,Pacific Ocean - South West,New Zealand,"""The accidental introduction of black rats Rattus rattus onto Stewart Island in 1964 presumably brought about the extinction of C. iredalei.""",97,Rattus rattus,,Coenocorypha iredalei_Rattus rattus
Columba junoniae,"Hernandez, M.A., Martín, A. and Nogales, M., 1999. Breeding success and predation on artificial nests of the endemic pigeons Bolle's Laurel Pigeon Columba bollii and White‐tailed Laurel Pigeon Columba junoniae in the laurel forest of Tenerife (Canary Islands). Ibis, 141(1), pp.52-59.",NA,Predation,Predation,Predation,Rattus rattus,,,Eggs,NA,1,,0,NA,NA,NA,NA,Tenerife,28.291599999999999,-16.629100000000001,tenerife,Canary Islands,Atlantic Ocean - North,Spain,"""Nest predation was the more important cause of nesting failure of both species (880/0), but principally affecting the White-tailed Laurel Pigeon… Predators identified by automatic cameras showed that Black Rat Rattus rattus was the major nest predator of both pigeons""",99,Rattus rattus,,Columba junoniae_Rattus rattus
Copsychus sechellarum,BirdLife International. 2021. Copsychus sechellarum. The IUCN Red List of Threatened Species 2021: e.T22709978A179276878. https://dx.doi.org/10.2305/IUCN.UK.2021-3.RLTS.T22709978A179276878.en. Accessed on 28 January 2024.,"Thorsen, M., Shorten, R., Lucking, R. and Lucking, V., 2000. Norway rats (Rattus norvegicus) on Fregate Island, Seychelles: the invasion; subsequent eradication attempts and implications for the island's fauna. Biological Conservation, 96(2), pp.133-138.",Population,Abundance,Timing,Rattus norvegicus,,,NA,NA,0,,0,NA,NA,NA,NA,Fregate Island,-4.5837000000000003,55.938600000000001,fregate,Seychelles,Indian Ocean - West,Seychelles,Rats established on Fregate Island in 1995 but this bird was chategorised critically endangered in 1994 and threatened in 1988,102,Rattus norvegicus,,Copsychus sechellarum_Rattus norvegicus
Coturnix novaezelandiae,"Worthy, T.H. and Holdaway, R.N., 1996. Quaternary fossil faunas, overlapping taphonomies, and palaeofaunal reconstruction in North Canterbury, South Island, New Zealand. Journal of the Royal Society of New Zealand, 26(3), pp.275-361.",NA,Population,Abundance,Timing,Rattus exulans,,,NA,NA,0,,0,NA,NA,NA,NA,"North Canterbury, South Island, New Zealand",-43.754199999999997,171.16370000000001,south,Canterbury Islands,Pacific Ocean - South West,New Zealand,"""The marked increase in abundance of these birds after the arrival of kiore reflects the increased presence of shrublands in the area following human arrival and anthropogenic burning.""",105,Rattus exulans,,Coturnix novaezelandiae_Rattus exulans
Cyanoramphus auriceps,"O'Donnell, C.F. and Hoare, J.M., 2012. Quantifying the benefits of long-term integrated pest control for forest bird populations in a New Zealand temperate rainforest. New Zealand Journal of Ecology, pp.131-140.",NA,Population,Abundance,Temporal,Rattus rattus,,0,NA,NA,0,,1,0,1,1,0,Landsborough Valley,-43.9711,169.46780000000001,south,Lake Hawea,Pacific Ocean - South West,New Zealand,"Figure 3,4",109,Rattus rattus,,Cyanoramphus auriceps_Rattus rattus
Dendrocygna arborea,"Daltry, J.C., James, K.J., Andrea, O.T.T.O. and Toby, N., 2012. Evidence that eradicating black rats has boosted the recovery of rare reptiles and seabirds on Antiguan islands. Biodiversité Insulaire, 146.",NA,Population,Abundance,Temporal,Rattus rattus,,1,NA,NA,0,,1,0,3,0,0,Antigua,17.0747,-61.817500000000003,antigua,Lesser Antilles (Antigua and Barbuda Islands),Caribbean,Antigua and Barbuda,"Tables 2-4 ""Number of breeding pairs of birds recorded on [three island groups]"" after rats were eradicated. There is no data on number of breeding pairs before eradication.",112,Rattus rattus,,Dendrocygna arborea_Rattus rattus
Dicrurus aldabranus,BirdLife International. 2016. Dicrurus aldabranus. The IUCN Red List of Threatened Species 2016: e.T22706943A94098323. https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22706943A94098323.en. Accessed on 10 November 2023.,NA,Predation,Predation,Predation,Rattus rattus,,,Eggs,NA,1,,0,NA,NA,NA,NA,Aldabra,-9.4237000000000002,46.343299999999999,aladabra,Aldabra Atoll,Indian Ocean - West,Seychelles,"""Up to 8/10 studied nests are predated at the egg stage, mainly by crows Corvus spp., rats, coucals and bulbuls (Pycnonotidae), as observed or suggested by nest monitoring (SIF unpublished data)""",113,Rattus,"Authors reported rodent as 'Rattus'. Based on REF, this must have been Rattus rattus",Dicrurus aldabranus_Rattus rattus
Diomedea dabbenena,"Cuthbert, R., Sommer, E., Ryan, P., Cooper, J. and Hilton, G., 2004. Demography and conservation of the Tristan albatross Diomedea [exulans] dabbenena. Biological Conservation, 117(5), pp.471-481.","Cuthbert, R. and Hilton, G., 2004. Introduced house mice Mus musculus: a significant predator of threatened and endemic birds on Gough Island, South Atlantic Ocean?. Biological conservation, 117(5), pp.483-489; Jones, M.G.W. and Ryan, P.G., 2010. Evidence of mouse attacks on albatross chicks on sub-Antarctic Marion Island. Antarctic Science, 22(1), pp.39-42; Cuthbert, R.J., Wanless, R.M., Angel, A., Burle, M.H., Hilton, G.M., Louw, H., Visser, P., Wilson, J.W. and Ryan, P.G., 2016. Drivers of predatory behavior and extreme size in house mice Mus musculus on Gough Island. Journal of Mammalogy, 97(2), pp.533-544.",Predation,Predation,Predation,Mus musculus,,,Chicks,NA,1,,0,NA,NA,NA,NA,Gough Island,-40.318600000000004,-9.9352999999999998,gough,Tristan da Cunha,Atlantic Ocean - South,Saint Helena,"""Wounds found on two live chicks and injuries found on Atlantic Pterodroma incerta petrel chicks strongly suggest that feral house mice Mus musculus are the most likely predator of Tristan albatross chicks (Cuthbert and Hilton, in press).""",116,Mus musculus,,Diomedea dabbenena_Mus musculus
Diomedea dabbenena,"Wanless, R.M., Angel, A., Cuthbert, R.J., Hilton, G.M. and Ryan, P.G., 2007. Can predation by invasive mice drive seabird extinctions?. Biology letters, 3(3), pp.241-244.",NA,Predation,Predation,Predation,Mus musculus,,,Chicks,256,1,39,0,NA,NA,NA,NA,Gough Island,-40.318600000000004,-9.9352999999999998,gough,Tristan da Cunha,Atlantic Ocean - South,Saint Helena,"""Mouse-induced mortality in 2004 was a significant cause of extremely poor breeding success for Tristan albatrosses, Diomedea dabbenena (0.27 fledglings/pair), and Atlantic petrels, Pterodroma incerta (0.33).""",117,Mus musculus,,Diomedea dabbenena_Mus musculus
Diomedea dabbenena,"Connan, M., Jones, C.W., Risi, M.M., Smyth, L.K., Oppel, S., Perold, V., Stevens, K.L., Daling, R. and Ryan, P.G., 2023. First evidence of mouse predation killing adult great albatrosses. Biological Invasions, pp.1-7.",NA,Predation,Predation,Predation,Mus musculus,,,Adults,NA,1,,0,NA,NA,NA,NA,Gough Island,-40.318600000000004,-9.9352999999999998,gough,Tristan da Cunha,Atlantic Ocean - South,Saint Helena,"""On Gough Island, three Tristan Albatrosses Diomedea dabbenena (Critically Endangered) brooding small chicks were observed with wounds typical of mouse attacks in March–April 2021; two likely abandoned their chick, causing breeding failure, and the third was found dead eight days after discovery with large blowfly larvae in the wound. On Marion Island, two wounded and eight dead adult Wandering Albatrosses D. exulans (Vulnerable) were found in April 2023. Inspection of the wounded individuals, as well as the injuries on the fresh carcasses strongly suggest that mouse predation was the cause of death.""",118,Mus musculus,,Diomedea dabbenena_Mus musculus
Diomedea dabbenena,"Oppel, S., Clark, B.L., Risi, M.M., Horswill, C., Converse, S.J., Jones, C.W., Osborne, A.M., Stevens, K., Perold, V., Bond, A.L. and Wanless, R.M., 2022. Cryptic population decrease due to invasive species predation in a long‐lived seabird supports need for eradication. Journal of Applied Ecology, 59(8), pp.2059-2070.",NA,Population,Abundance,Temporal,Mus musculus,,0,NA,NA,0,,1,0,1,0,0,Gough Island,-40.318600000000004,-9.9352999999999998,gough,Tristan da Cunha,Atlantic Ocean - South,Saint Helena,"""The adult breeding population remained stable between 2004 and 2021"" ""Mice have ... affected breeding success of seabirds since at least 2000 when the low breeding success was first noticed… Mice have recently been observed attacking adult albatrosses""",119,Mus musculus,,Diomedea dabbenena_Mus musculus
Diomedea dabbenena,"Oppel, S., Clark, B.L., Risi, M.M., Horswill, C., Converse, S.J., Jones, C.W., Osborne, A.M., Stevens, K., Perold, V., Bond, A.L. and Wanless, R.M., 2022. Cryptic population decrease due to invasive species predation in a long‐lived seabird supports need for eradication. Journal of Applied Ecology, 59(8), pp.2059-2070.",NA,Population,Abundance,Timing,Mus musculus,,,NA,NA,0,,0,NA,NA,NA,NA,Gough Island,-40.318600000000004,-9.9352999999999998,gough,Tristan da Cunha,Atlantic Ocean - South,Saint Helena,"""Mice have been present on Gough since the 19th century""",120,Mus musculus,,Diomedea dabbenena_Mus musculus
Diomedea dabbenena,"Davies, D., Dilley, B.J., Bond, A.L., Cuthbert, R.J. and Ryan, P.G., 2015. Trends and tactics of mouse predation on Tristan albatross Diomedea dabbenena chicks at Gough Island, South Atlantic Ocean. Avian Conservation & Ecology, 10(1).",NA,Predation,Predation,Predation,Mus musculus,,,Chicks,20,1,70,0,NA,NA,NA,NA,Gough Island,-40.318600000000004,-9.9352999999999998,gough,Tristan da Cunha,Atlantic Ocean - South,Saint Helena,"""We closely monitored the fates of 20 chicks... Only 5 of 20 chicks survived to fledge, and of the 15 failures, 14 (93%) were due to mouse predation.""",121,Mus musculus,,Diomedea dabbenena_Mus musculus
Diomedea dabbenena,"Bond, A.L., Carlson, C.J. and Burgio, K.R., 2019. Local extinctions of insular avifauna on the most remote inhabited island in the world. Journal of Ornithology, 160(1), pp.49-60.",NA,Population,Abundance,Timing,Rattus rattus,,,NA,NA,0,,0,NA,NA,NA,NA,Tristan da Cunha,-37.105200000000004,-12.277699999999999,tristan da cunha,Tristan da Cunha,Atlantic Ocean - South,Saint Helena,"""We estimate that all three species were likely extirpated from Tristan between 1869 and 1880 following a period of significant habitat alteration and human overexploitation, and only the albatross had a high probability of persistence when Black Rats (Rattus rattus) arrived in 1882, the previously assumed cause of extinction for all three species."" ""The Tristan Albatross likely went extinct on the main island of Tristan by 1880, in part owing to human persecution""",122,Rattus rattus,,Diomedea dabbenena_Rattus rattus
Diomedea exulans,"Connan, M., Jones, C.W., Risi, M.M., Smyth, L.K., Oppel, S., Perold, V., Stevens, K.L., Daling, R. and Ryan, P.G., 2023. First evidence of mouse predation killing adult great albatrosses. Biological Invasions, pp.1-7.",NA,Predation,Predation,Predation,Mus musculus,,,Adults,NA,1,,0,NA,NA,NA,NA,Marion Island,-46.912500000000001,37.743611000000001,marion,Prince Edward Islands,Indian Ocean - West,South Africa,"""On Gough Island, three Tristan Albatrosses Diomedea dabbenena (Critically Endangered) brooding small chicks were observed with wounds typical of mouse attacks in March–April 2021; two likely abandoned their chick, causing breeding failure, and the third was found dead eight days after discovery with large blowfly larvae in the wound. On Marion Island, two wounded and eight dead adult Wandering Albatrosses D. exulans (Vulnerable) were found in April 2023. Inspection of the wounded individuals, as well as the injuries on the fresh carcasses strongly suggest that mouse predation was the cause of death.""",123,Mus musculus,,Diomedea exulans_Mus musculus
Diomedea exulans,"Dilley, B.J., Schoombie, S., Schoombie, J. and Ryan, P.G., 2016. ‘Scalping’of albatross fledglings by introduced mice spreads rapidly at Marion Island. Antarctic Science, 28(2), pp.73-80.",NA,Predation,Predation,Predation,Mus musculus,,,Chicks,553,1,0.5,0,NA,NA,NA,NA,Marion Island,-46.912500000000001,37.743611000000001,marion,Prince Edward Islands,Indian Ocean - West,South Africa,"""The first mouse-injured wandering albatross (Diomedea exulans L.) chick was found in 2003 and since then attacks have continued at a low level affecting <1% of the population"" ""Remote cameras...confirmed that mice were responsible for wounds on [two] chicks"" ""The survey of chicks outside study colonies in June 2015 inspected 553 chicks (~ 70% of chicks outside study colonies), of which three (0.5%) had mouse wounds""",124,Mus musculus,,Diomedea exulans_Mus musculus
Diomedea exulans,"Dilley, B.J., Schoombie, S., Schoombie, J. and Ryan, P.G., 2016. ‘Scalping’of albatross fledglings by introduced mice spreads rapidly at Marion Island. Antarctic Science, 28(2), pp.73-80.",NA,Predation,Predation,Predation,Mus musculus,,,Chicks,268,1,0.56,0,NA,NA,NA,NA,Marion Island,-46.912500000000001,37.743611000000001,marion,Prince Edward Islands,Indian Ocean - West,South Africa,"""Since 2003, 21 wandering albatross chicks have been found with mouse wounds in the three study colonies (average 1.5 ± 1.6 per year, range 0–6, 268± 44 nests) monitored per year; Fig. 4)""",125,Mus musculus,,Diomedea exulans_Mus musculus
Diomedea exulans,"Jones, M.G.W. and Ryan, P.G., 2010. Evidence of mouse attacks on albatross chicks on sub-Antarctic Marion Island. Antarctic Science, 22(1), pp.39-42.",NA,Predation,Predation,Predation,Mus musculus,,,Chicks,1098,1,0.18,0,NA,NA,NA,NA,Marion Island,-46.912500000000001,37.743611000000001,marion,Prince Edward Islands,Indian Ocean - West,South Africa,"""We summarize evidence for mouse attacks on albatross chicks at sub-Antarctic Marion Island, where mice are also the only introduced mammal following the eradication of feral cats Felis catus in the early 1990s. Wounds consistent with mouse attacks have been found on wandering albatrosses Diomedea exulans since 2003 and dark-mantled sooty albatrosses Phoebetria fusca in 2009."" Data in Table 1",126,Mus musculus,,Diomedea exulans_Mus musculus
Ducula galeata,"Villard, P., De Visscher, M.N. and Balança, G., 2003. Population size, habitats and conservation of Marquesan Imperial Pigeon Ducula galeata. Bird Conservation International, 13(3), pp.189-197.",NA,Population,Reproductive success,Spatial,Rattus rattus,,,NA,NA,0,,0,NA,NA,NA,NA,Nuku Hiva,-8.8605,-140.1421,nuku hiva,Marquesas,Pacific Ocean - South East,French Polynesia,"""Introduced black rats Rattus rattus do not seem to be a threat for this bird"" ""The significant proportion of young pigeons observed during this study suggests that rats do not significantly jeopardize their breeding success"" ""Black rats Rattus rattus were present everywhere that Upe were found in our study and we even trapped them at the foot of several trees with an occupied nest.""",133,Rattus rattus,,Ducula galeata_Rattus rattus
